lemma	reconstructed_semitic_forms
himilco	ᵓḥmlkt ; ḥmlkt
himilcone	
himilconi	
himilconis	
himilis	ḥmlk
hinam	
hisdreasen	
huris	
hylas	
hyola	
ia[  ]ae	
ia[  ]aris	
ia[  ]n	
iabari	
iabdidis	
iabenia	
iabenu	
iabra	
iabun	
iacchirius	
iacina	
iactorensis	
iacubus	
iad[	
iadar	ᵓdr
iadas	
iadde	
iaddir	
iade	
iader	
iaderi	
iaderis	
iadibelus	
iadipis	
iado	
iadyr	
iadyri	
iafic	
iafis	IFš
iagumus	
iagurte	
iah	
iahin	ḥnn
iahinas	
iahinis	
iahinus	
iahn	
iailuai	
ialauda	
ialauta	
ialauia	
ialdan	
ialdas	
ialeia	
ialeius	
ialfinis	
ialinsax	
iallius	
ialnoati[	
ials	
iamakara	
iamakaris	
iamascai	
iambal	
iambaria	
iambart	
iambus	
iamcar	
iameraban	
iameratanim	
iamgur	
iamili	
iammada	
iamo	ymᵓ
iamonis	
iamrur	
ianacis	
ianini	
ianparila	
iantu[	
iapasacis	IFšK
iaphne	
iapin	
iapiria	
iaps	
iapthmi	
iapusinni	
iar[	
iarasc	
iaraucan	
iarbae	
iarban	
iarbas	
iarecn	
iaresan	
iari	
iaridus	
iarisp	
iarnichan	
iarsacheni	
iarsefae	
iarsuleia	
iarti	
iartis	
iartidi	
iasau	
iasdae	
iasidba	ysdbᶜl
iasonis	yšn
iassia[	
iassicbalis	yskbᶜl
iassuchtan	
iasta	
iastr	
iasuc	IšK
iasucta	yᶜsktᶜn
iasuctan[	
iatta	
iatunis	
iatuuatuus	
iaudae	
iaudas	
iauoleni	
iba	
ibubalis	ᵓb--bᶜl
ibzathae	
ibztha	
icaman	
icch[na]nis	
icnanus	
iddibale	ᵓdnbᶜl ᵓrš
iddibal	ᵓdnbᶜl ; yd(y)ᶜbᶜl
iddibalis	
iddibalius	
idil	
idnibalis	
idonius	
iedo[	
iedonis	
ieiuiien	
ielidassen	
iemsali	
ieptae	
ieptanis	
ieptha	
iepthae	
ieracu	
ierditenu	
ierehei	yrḥy
iereheus	
ierhei	
ierinaniu	
ierna	
iernae	
ierni	
ierofan	
ieru	
ies[	
iesdanis	
ifisdaias	
ifnaten	
ifru	
igmazen	
igmazene	
ignem	
ihar[	
ihimir	h--ḥmwr
iider	
iidir	
iiloins	
iiueri	
ilan	
ilasan	
ilaucha	
iliamac	
ilic	
ililasene	
ilimus	ᵓlm ; ᵓlm
illilasen	
iloni	
iluni	ᵓl
imac	
iman[	
imastan	
imibal	
imilce	
imilcho	
imilchonis	ḥnbᶜl bn ḥmlkt ṭ
imilcone	
imilconis	
imilis	
imir	
immi	
immidib	
imten	
imsguar	ᶜwmzgwᶜr
imucius	
imunti	
inalnia	
indagius	
inesin	
ingirozoglezim	
inibal	ᵓdnbᶜl
inibi	
inimsen	
innibalis	
iobris	
iocoloni	
ioconia	
iolcaiuus	
